标题,发布时间,展现量,阅读量,点击率,阅读时长,点赞,评论,收益,采集时间,去重状态
胖东来闭店员工称全员去新店！,2026-08-17 12:00,20,0,0%,--,0,0,0,2026-08-18T20:34:54.418Z,new
市场占有率超6成！中国车发现新大陆！,2026-08-17 08:00,144,13,9.0%,--,0,0,0,2026-08-18T20:34:54.418Z,new
废油变身抢手货 出口订单排到明年！,2026-08-17 06:00,36,1,2.8%,--,0,0,0,2026-08-18T20:34:54.418Z,new
许昌 胖东来 附近老板流泪说舍不得！,2026-08-17 04:00,19,0,0%,--,0,0,0,2026-08-18T20:34:54.418Z,new
多名成年人被父母送进矫治机构！,2026-08-17 02:00,17,0,0%,--,0,0,0,2026-08-18T20:34:54.418Z,new
请3天假就能连休13天，这个拼假方案今天刷屏了！,2026-08-16 21:13,2016,2,0.1%,00:03,0,1,0,2026-08-18T20:34:54.418Z,new
